Id,Player_Name,Team,Credit_Point,Role,Speciality,BowlerName,RightHandedBat,Nationality,TeamCode,Matches,Innings,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets
12,Ravindra Jadeja,CSK,8.5,AR,slow left arm orthdox,Ravindra Jadeja,False,Indian,CSK,12.0,12.0,197.0,280.0,69.0,35.02,133.0,35.0,24.62,24.62,60.0,5.62,8.52,32.5,83.0,12.0,0.0,21.0,14.0,3.0,2.0,0.0,1.0,8.0,24.0,2.0,24.0,2.0,24/2,24/2,0.0,0.0,0.0,0.0,0.0
13,Riyan Parag,RR,8.5,AR,off break,Riyan Parag,True,Indian,RR,12.0,7.0,90.0,118.0,22.0,24.44,71.0,59.0,45.0,45.0,40.67,9.0,7.86,15.0,50.0,8.0,0.0,6.0,4.0,3.0,0.0,0.0,1.0,2.0,12.0,1.0,12.0,1.0,12/1,12/1,0.0,0.0,0.0,0.0,0.0
14,Wanindu Hasaranga,RR,7.5,AR,leg break,Wanindu Hasaranga,True,Overseas,RR,9.0,9.0,204.0,311.0,53.0,25.98,154.0,31.1,20.4,20.4,58.52,5.51,9.14,34.0,103.0,10.0,1.0,20.0,17.0,3.0,0.0,1.0,4.0,10.0,35.0,4.0,35.0,4.0,35/4,35/4,0.0,0.0,1.0,0.0,0.0
15,Ravichandran Ashwin,CSK,6.5,AR,off break,Ravichandran Ashwin,True,Indian,CSK,8.0,8.0,162.0,242.0,51.0,31.48,114.0,48.4,32.4,32.4,62.8,5.22,8.96,27.0,73.0,7.0,0.0,17.0,14.0,3.0,0.0,0.0,3.0,5.0,48.0,2.0,48.0,2.0,48/2,48/2,0.0,0.0,0.0,0.0,0.0
16,Sam Curran,CSK,7.0,AR,left arm medium fast,Sam Curran,False,Overseas,CSK,5.0,5.0,72.0,133.0,18.0,25.0,56.0,133.0,72.0,72.0,69.17,3.78,11.08,12.0,31.0,4.0,0.0,11.0,8.0,2.0,0.0,0.0,2.0,1.0,34.0,1.0,34.0,1.0,34/1,34/1,0.0,0.0,0.0,0.0,0.0
18,Noor Ahmad,CSK,8.5,BOWL,left arm wrist spin,Noor Ahmad,True,Overseas,CSK,12.0,12.0,258.0,345.0,91.0,35.27,177.0,17.25,12.9,12.9,56.23,6.29,8.02,43.0,115.0,15.0,0.0,26.0,15.0,8.0,2.0,4.0,3.0,20.0,18.0,4.0,18.0,4.0,18/4,18/4,0.0,0.0,2.0,0.0,0.0
19,Khaleel Ahmed,CSK,8.0,BOWL,left arm fast medium,Khaleel Ahmed,True,Indian,CSK,12.0,12.0,244.0,395.0,119.0,48.77,134.0,28.21,17.42,17.42,78.98,3.69,9.71,40.4,46.0,14.0,0.0,42.0,24.0,6.0,3.0,1.0,5.0,14.0,29.0,3.0,29.0,3.0,29/3,29/3,0.0,0.0,0.0,0.0,0.0
20,Matheesha Pathirana,CSK,8.0,BOWL,right arm fast,Matheesha Pathirana,True,Overseas,CSK,10.0,10.0,220.0,373.0,70.0,31.81,180.0,31.08,18.33,18.33,57.9,5.11,10.17,36.4,92.0,14.0,1.0,21.0,22.0,29.0,1.0,1.0,5.0,12.0,36.0,3.0,36.0,3.0,36/3,36/3,0.0,0.0,0.0,0.0,0.0
21,Maheesh Theekshana,RR,7.0,BOWL,off break,Maheesh Theekshana,True,Overseas,RR,11.0,11.0,252.0,410.0,72.0,28.57,199.0,37.27,22.9,22.9,58.53,4.75,9.76,42.0,109.0,18.0,1.0,39.0,14.0,17.0,2.0,0.0,2.0,11.0,26.0,2.0,26.0,2.0,26/2,26/2,0.0,0.0,0.0,0.0,0.0
22,Tushar Deshpande,RR,7.0,BOWL,right arm medium,Tushar Deshpande,False,Indian,RR,8.0,8.0,144.0,270.0,40.0,27.77,123.0,45.0,24.0,24.0,63.7,3.89,11.25,24.0,56.0,10.0,1.0,25.0,12.0,19.0,0.0,0.0,1.0,6.0,44.0,3.0,44.0,3.0,44/3,44/3,0.0,0.0,0.0,0.0,0.0
